d_name,model_name,split_idx,n_splits,random_state,fit_time,test_size,bias,variance,error_test_mse,avg_test_auc,avg_test_aupr,avg_test_acc,avg_test_logloss,n_subsamples,subsample_ratio
mimiciii,xgb-d3-o20,1,5,1377,552.4683456420898,0.15,0.07544272282088674,0.001751950066304378,0.07719467288719112,0.8161094850360948,0.3779349855995679,0.906409943943456,0.28616429685772715,8,0.5
mimiciii,rf-n1000,1,5,1377,367.48498725891113,0.15,0.07580836233396293,0.000329344161284426,0.07613770649524737,0.8017653536947369,0.3583134306403257,0.9030892030221788,0.2656418043279068,8,0.5
mimicii,ebm-o50-i50,3,5,1377,537.9861035346985,0.15,0.08486139157478374,0.0005634080224864946,0.08542479959727024,0.8375228110043729,0.4467787870904645,0.8856064726679358,0.2852035631172201,8,0.5
mimiciii,xgb-d1-o20-cv,2,5,1377,437.34013938903814,0.15,0.0746058554252278,0.0008337625967202534,0.07543961802194805,0.8032157306363239,0.3686573475232928,0.9058615647087496,0.2625978082177176,8,0.5
mimiciii,xgb-d3,2,5,1377,8.692050457000732,0.15,0.07332133722962234,0.0020451507999999998,0.0753664879657753,0.8073053009376363,0.3708785211483426,0.9056787716305144,0.2616518295139886,8,0.5
mimiciii,xgb-d3-o20,2,5,1377,543.1813404560089,0.15,0.07610844832235282,0.0017441555650061938,0.07785260388735901,0.8099060590365605,0.3795697732407919,0.906013892273946,0.2898304356520295,8,0.5
mimicii,flam,3,5,1377,1064.7787816524506,0.15,0.0850345764854087,0.0006446871969319843,0.08567926368234068,0.8367405226732776,0.4444009783453468,0.8862183845526245,0.2855198057029805,8,0.5
mimicii,ilr,3,5,1377,74.20914125442505,0.15,0.08920711100259149,0.0011759307595693494,0.09038304176216083,0.8125247908273939,0.3860763762537003,0.8815610552080501,0.30049659452639044,8,0.5
mimicii,lr,3,5,1377,7.079216957092285,0.15,0.08879150185162094,0.00014857362620914483,0.08894007547783009,0.8028562820645251,0.4077000172694494,0.8849945607832472,0.3016347025473166,8,0.5
mimicii,mlr,3,5,1377,17.722727298736576,0.15,0.08752661450302854,0.005982853613493665,0.09350946811652222,0.8054656027269911,0.38803498818010895,0.8775156377481642,0.3153014740486232,8,0.5
mimicii,ebm-bf-o50,4,5,1377,111.8447651863098,0.15,0.08580307187791966,0.0005845289197348563,0.08638760079765452,0.8407046448369659,0.4332509743453745,0.8839747076420995,0.2868357992973373,8,0.5
mimiciii,rf-n1000,2,5,1377,517.3681733608247,0.15,0.07502738621130879,0.00033013420058493787,0.07535752041189372,0.8002805146694718,0.3819245028722919,0.9062880818912992,0.2647066246478782,8,0.5
mimicii,ebm-o50-i50,4,5,1377,362.0274901390076,0.15,0.08596302223775851,0.0006401056610119103,0.08660312789877042,0.8395367214130771,0.4312680191819495,0.8838727223279848,0.286897676177308,8,0.5
